asset,liab,m_d,m_p,ir,gn
261500000.0,0.0,30.04.2018,39,0.8495,1
50000000.0,0.0,06.05.2018,45,0.905,2
50000000.0,0.0,07.06.2018,77,0.934,3
0.0,50000000.0,28.04.2018,37,0.9745,1
82000000.0,0.0,15.05.2018,54,0.98,4
0.0,50000000.0,24.05.2018,63,1.03,2
0.0,50000000.0,26.05.2018,65,1.056,3
76000000.0,0.0,18.05.2018,57,1.236,5
100000000.0,0.0,04.06.2018,74,1.245,6
0.0,163000000.0,19.05.2018,58,1.34,6
25500000.0,0.0,06.06.2018,76,1.383,6
0.0,15000000.0,08.05.2018,47,1.405,7
40000000.0,0.0,27.04.2018,36,1.4685,8
0.0,21000000.0,27.04.2018,36,1.4725,9
0.0,40000000.0,27.04.2018,36,1.5622,8
21000000.0,0.0,27.04.2018,36,1.5622,9
62000000.0,0.0,15.05.2018,54,1.6162,10
0.0,51200000.0,17.05.2018,56,1.6181,11
0.0,101500000.0,17.05.2018,56,1.6181,12
80000000.0,0.0,04.06.2018,74,1.668,13
90000000.0,0.0,04.06.2018,74,1.668,14
25864700.0,0.0,04.06.2018,74,1.668,15
0.0,90000000.0,04.06.2018,74,1.668,14
0.0,80000000.0,04.06.2018,74,1.668,13
0.0,320000000.0,11.06.2018,81,1.7225,16
320000000.0,0.0,11.06.2018,81,1.7225,16
115000000.0,0.0,11.06.2018,81,1.7225,17
0.0,115000000.0,11.06.2018,81,1.7225,17
25000000.0,0.0,24.04.2018,33,1.7413,18
0.0,25000000.0,24.04.2018,33,1.7413,18
10000000.0,0.0,24.04.2018,33,1.7413,19
2100000.0,0.0,24.04.2018,33,1.7413,20
11200000.0,0.0,24.04.2018,33,1.7413,21
0.0,106000000.0,24.04.2018,33,1.7413,22
0.0,11100000.0,24.04.2018,33,1.7413,23
8700000.0,0.0,24.04.2018,33,1.7413,24
56200000.0,0.0,24.04.2018,33,1.7413,25
0.0,31800000.0,24.04.2018,33,1.7413,26
12700000.0,0.0,24.04.2018,33,1.7413,27
0.0,2100000.0,24.04.2018,33,1.7413,20
16000000.0,0.0,24.04.2018,33,1.7413,28
0.0,31000000.0,24.04.2018,33,1.7413,29
5400000.0,0.0,24.04.2018,33,1.7413,30
10400000.0,0.0,24.04.2018,33,1.7413,31
10400000.0,0.0,24.04.2018,33,1.7413,32
60000000.0,0.0,24.04.2018,33,1.7413,33
0.0,11200000.0,24.04.2018,33,1.7413,21
11200000.0,0.0,24.04.2018,33,1.7413,34
50300000.0,0.0,24.04.2018,33,1.7413,35
51000000.0,0.0,24.04.2018,33,1.7413,11
0.0,25000000.0,24.04.2018,33,1.7413,36
50000000.0,0.0,24.04.2018,33,1.7413,37
0.0,10400000.0,24.04.2018,33,1.7413,31
0.0,26300000.0,24.04.2018,33,1.7413,38
54800000.0,0.0,24.04.2018,33,1.7413,39
1100000.0,0.0,24.04.2018,33,1.7413,40
56200000.0,0.0,24.04.2018,33,1.7413,41
0.0,106000000.0,24.04.2018,33,1.7413,42
0.0,54700000.0,24.04.2018,33,1.7413,43
10000000.0,0.0,24.04.2018,33,1.7413,44
22800000.0,0.0,24.04.2018,33,1.7413,45
0.0,104000000.0,24.04.2018,33,1.7413,46
20500000.0,0.0,24.04.2018,33,1.7413,47
0.0,10400000.0,24.04.2018,33,1.7413,32
0.0,38600000.0,24.04.2018,33,1.7413,48
10300000.0,0.0,24.04.2018,33,1.7413,49
175000000.0,0.0,24.04.2018,33,1.7413,50
25000000.0,0.0,24.04.2018,33,1.7413,36
10000000.0,0.0,24.04.2018,33,1.7413,51
2100000.0,0.0,24.04.2018,33,1.7413,52
0.0,20800000.0,24.04.2018,33,1.7413,53
10900000.0,0.0,23.04.2018,32,1.7445,54
0.0,26000000.0,23.04.2018,32,1.7445,55
5600000.0,0.0,23.04.2018,32,1.7445,56
0.0,11200000.0,23.04.2018,32,1.7445,34
30800000.0,0.0,23.04.2018,32,1.7445,57
0.0,7500000.0,23.04.2018,32,1.7445,58
0.0,10500000.0,23.04.2018,32,1.7445,59
0.0,40000000.0,23.04.2018,32,1.7445,60
20700000.0,0.0,23.04.2018,32,1.7445,61
0.0,10300000.0,23.04.2018,32,1.7445,49
10300000.0,0.0,23.04.2018,32,1.7445,62
0.0,10500000.0,23.04.2018,32,1.7445,63
0.0,20900000.0,23.04.2018,32,1.7445,64
0.0,20900000.0,23.04.2018,32,1.7445,65
0.0,10000000.0,23.04.2018,32,1.7445,19
0.0,11200000.0,23.04.2018,32,1.7445,66
52000000.0,0.0,23.04.2018,32,1.7445,67
0.0,17000000.0,23.04.2018,32,1.7445,68
0.0,62000000.0,23.04.2018,32,1.7445,10
0.0,20000000.0,23.04.2018,32,1.7445,69
0.0,30000000.0,23.04.2018,32,1.7445,70
0.0,12000000.0,23.04.2018,32,1.7445,71
10000000.0,0.0,23.04.2018,32,1.7445,72
10000000.0,0.0,23.04.2018,32,1.7445,73
10000000.0,0.0,23.04.2018,32,1.7445,74
14300000.0,0.0,23.04.2018,32,1.7445,75
16800000.0,0.0,23.04.2018,32,1.7445,76
10000000.0,0.0,23.04.2018,32,1.7445,77
0.0,16300000.0,23.04.2018,32,1.7445,78
10200000.0,0.0,23.04.2018,32,1.7445,79
10400000.0,0.0,23.04.2018,32,1.7445,80
10000000.0,0.0,23.04.2018,32,1.7445,81
0.0,38200000.0,23.04.2018,32,1.7445,82
20700000.0,0.0,23.04.2018,32,1.7445,83
5400000.0,0.0,23.04.2018,32,1.7445,84
0.0,31000000.0,23.04.2018,32,1.7445,85
0.0,20500000.0,23.04.2018,32,1.7445,47
0.0,41000000.0,23.04.2018,32,1.7447,86
0.0,14400000.0,23.04.2018,32,1.7447,87
20800000.0,0.0,23.04.2018,32,1.7447,53
0.0,45300000.0,23.04.2018,32,1.7447,88
0.0,10900000.0,23.04.2018,32,1.7447,54
0.0,60500000.0,23.04.2018,32,1.7447,89
30900000.0,0.0,23.04.2018,32,1.7447,90
10300000.0,0.0,23.04.2018,32,1.7447,91
20500000.0,0.0,23.04.2018,32,1.7447,92
41000000.0,0.0,23.04.2018,32,1.7447,86
26900000.0,0.0,23.04.2018,32,1.7447,93
0.0,30600000.0,23.04.2018,32,1.7447,94
250000000.0,0.0,23.04.2018,32,1.7447,95
18300000.0,0.0,23.04.2018,32,1.7447,96
0.0,51250000.0,23.04.2018,32,1.7447,97
0.0,10400000.0,23.04.2018,32,1.7447,80
10400000.0,0.0,23.04.2018,32,1.7447,98
0.0,20500000.0,23.04.2018,32,1.7447,92
0.0,5000000.0,23.04.2018,32,1.7447,99
0.0,26700000.0,23.04.2018,32,1.7447,100
0.0,75000000.0,23.04.2018,32,1.7447,101
101900000.0,0.0,23.04.2018,32,1.7447,12
55000000.0,0.0,23.04.2018,32,1.7447,102
0.0,22500000.0,23.04.2018,32,1.7447,103
0.0,18300000.0,23.04.2018,32,1.7447,96
20800000.0,0.0,23.04.2018,32,1.7447,104
0.0,44000000.0,23.04.2018,32,1.7447,105
20900000.0,0.0,23.04.2018,32,1.7447,64
20500000.0,0.0,23.04.2018,32,1.7447,106
20500000.0,0.0,23.04.2018,32,1.7447,107
0.0,130000000.0,23.04.2018,32,1.7447,108
16000000.0,0.0,23.04.2018,32,1.7447,109
200000000.0,0.0,23.04.2018,32,1.7447,110
10200000.0,0.0,23.04.2018,32,1.7447,111
0.0,20500000.0,23.04.2018,32,1.7447,106
0.0,34500000.0,23.04.2018,32,1.7447,112
